BioSample accession no.,SourceSeq.,Strain_ID/Alias,IsolatYear,SourceCountry,Serogroup_type,ST,No. void loci
SAMEA103907207,ERR1879637,CNRVC970077,,,,69,0
SAMEA103907208,ERR1879638,CNRVC980374,,,,69,3
SAMEA103908343,ERR1879644,CNRVC990194,,,,69,0
SAMEA103908344,ERR1879645,CNRVC990209,,,,69,0
SAMEA103908345,ERR1879646,CNRVC990234,,,,69,0
SAMEA103908346,ERR1879647,CNRVC990256,,,,69,1
SAMEA103908347,ERR1879648,CNRVC990298,,,,69,0
SAMEA103908348,ERR1879649,CNRVC990299,,,,69,0
SAMEA103908349,ERR1879650,CNRVC990329,,,,69,2
SAMEA103908350,ERR1879651,F135,,,,69,1
SAMEA103908351,ERR1879652,F1393,,,,69,1
SAMEA103908352,ERR1879653,F3397,,,,69,8
SAMEA103908353,ERR1879654,F3403,,,,69,4
SAMEA103908354,ERR1879655,F3835,,,,69,3
SAMEA103908355,ERR1879656,F4169,,,,69,1
SAMEA103908356,ERR1879657,F4170,,,,69,1
SAMEA103908357,ERR1879658,F5096,,,,69,5
SAMEA103910183,ERR1880761,F5097,,,,69,3
SAMEA103910184,ERR1880762,F5144,,,,69,1
SAMEA103910185,ERR1880763,F5149,,,,69,0
SAMEA103910186,ERR1880764,F5197,,,,69,7
SAMEA103910187,ERR1880765,F5198,,,,69,5
SAMEA103910188,ERR1880766,F5332,,,,69,0
SAMEA103910189,ERR1880767,F5333,1998,Tanzania,,69,1
SAMEA103910190,ERR1880768,F8478,,,,69,0
SAMEA103910191,ERR1880769,F8479,,,,69,1
SAMEA103910192,ERR1880770,K0107,,,,69,0
SAMEA103910193,ERR1880771,K0108,,,,69,2
SAMEA103910194,ERR1880772,K6975,,,,69,0
SAMEA103910195,ERR1880773,K6979,,,,69,0
SAMEA103910196,ERR1880774,NICD_1241,,,,69,0
SAMEA103910197,ERR1880775,NICD_1242,,,,69,0
SAMEA103910198,ERR1880776,NICD_1264,,,,69,0
SAMEA103910199,ERR1880777,NICD_1405,,,,69,0
SAMEA103910200,ERR1880778,NICD_14191,,,,69,1
SAMEA103910201,ERR1880779,NICD_14794,,,,69,1
SAMEA103910202,ERR1880780,NICD_15070,,,,69,0
SAMEA103910203,ERR1880781,NICD_15104,,,,69,1
SAMEA103910204,ERR1880782,NICD_15907,,,,69,0
SAMEA103910205,ERR1880783,NICD_15959,,,,69,0
SAMEA103910206,ERR1880784,NICD_16211,,,,69,1
SAMEA103910207,ERR1880785,NICD_16230,,,,69,2
SAMEA103910208,ERR1880786,NICD_69147,,,,69,11
SAMEA103910209,ERR1880787,NICD_16756,,,,69,1
SAMEA103910210,ERR1880788,NICD_16879,,,,69,0
SAMEA103910211,ERR1880789,NICD_273,,,,69,0
SAMEA103910212,ERR1880790,NICD_4076,,,,69,0
SAMEA103910213,ERR1880791,NICD_69173,,,,69,4
SAMEA103910214,ERR1880792,NICD_69175,,,,69,2
SAMEA103910215,ERR1880793,RKI-ZBS2-CH19,1972,Angola,,69,4
SAMEA103910216,ERR1880794,RKI-ZBS2-CH218,,,,69,15
SAMEA103910217,ERR1880795,RKI-ZBS2-CH234,1994,Turkey,,69,1
SAMEA103910218,ERR1880796,RKI-ZBS2-CH8,,,,69,4
SAMEA103910219,ERR1880797,RKI-ZBS2-CH99,,,,69,11
SAMEA103910220,ERR1880798,Sao-Tome-21,,,,69,12
SAMEA103910221,ERR1880799,THSTI_AM120,,,,69,32
SAMEA103910222,ERR1880800,THSTI_AM232,,,,69,2
SAMEA103910223,ERR1880801,THSTI_AM305,1997,India,,69,3
SAMEA103910224,ERR1880802,THSTI_C18932,,,,69,2
SAMEA103910225,ERR1880803,THSTI_CO1089,,,,69,7
SAMEA103910226,ERR1880804,THSTI_CO327,,,,69,4
SAMEA103910227,ERR1880805,THSTI_CO368,1993,India,,69,3
SAMEA103910228,ERR1880806,THSTI_CO553,,,,69,2
SAMEA103910229,ERR1880807,THSTI_CO783,,,,69,1
SAMEA103910230,ERR1880808,THSTI_CO908,,,,69,2
SAMEA103910231,ERR1880809,THSTI_CRC155,,,,69,5
SAMEA103910232,ERR1880810,THSTI_CRC198,,,,69,1
SAMEA103910233,ERR1880811,THSTI_D16133,,,,69,3
SAMEA103910234,ERR1880812,THSTI_D31153,1998,India,,69,3
SAMEA103910235,ERR1880813,THSTI_E12067,,,,69,26
SAMEA103910236,ERR1880814,THSTI_G27875,,,,69,0
SAMEA103910237,ERR1880815,THSTI_GP106bis,,,,69,1
SAMEA103910238,ERR1880816,THSTI_GP160bis,,,,69,12
SAMEA103910239,ERR1880817,THSTI_H11801,,,,69,1
SAMEA103910240,ERR1880818,THSTI_H12381,,,,69,0
SAMEA103910241,ERR1880819,THSTI_I16615,,,,69,4
SAMEA103910242,ERR1880820,THSTI_I17260,,,,69,1
SAMEA103910249,ERR1880821,THSTI_IDH0002,,,,69,2
SAMEA103910250,ERR1880822,THSTI_IDH00136,,,,69,0
SAMEA103910251,ERR1880823,THSTI_IDH00563,,,,69,4
SAMEA103910252,ERR1880824,THSTI_IDH01272,,,,69,6
SAMEA103910253,ERR1880825,THSTI_IDH01405,,,,69,1
SAMEA103910254,ERR1880826,THSTI_IDH02367,,,,69,3
SAMEA103910255,ERR1880827,THSTI_IDH02834,,,,69,0
SAMEA103910256,ERR1880828,THSTI_IDH02959,,,,69,2
SAMEA103910257,ERR1880829,THSTI_J16173,,,,69,3
SAMEA103910258,ERR1880830,THSTI_J4770,,,,69,2
SAMEA103910259,ERR1880831,THSTI_K12759,,,,69,3
SAMEA103910260,ERR1880832,THSTI_K9398,,,,69,2
SAMEA103910261,ERR1880833,THSTI_L19089,,,,69,2
SAMEA103910262,ERR1880834,THSTI_L9496,,,,69,1
SAMEA103910263,ERR1880835,THSTI_NLC8,,,,69,4
SAMEA103910264,ERR1880836,THSTI_RC12,,,,69,4
SAMEA103910265,ERR1880837,THSTI_V108,,,,69,0
SAMEA103910266,ERR1880838,THSTI_V12,1989,India,,69,2
SAMEA103910267,ERR1880839,THSTI_V149,,,,69,0
SAMEA103910268,ERR1880840,THSTI_V156,,,,69,33
SAMEA103910269,ERR1880841,THSTI_V157,,,,69,2
SAMEA103910270,ERR1880842,THSTI_V8,,,,69,0
SAMEA103910271,ERR1880843,THSTI_VC4,,,,69,6
SAMEA103910272,ERR1880844,THSTI_VC63,,,,69,1
SAMEA4384407,ERR1953524,,,,,69,0
SAMEA4384634,ERR1953525,,,,,69,0
SAMEA4384408,ERR1953526,,,,,69,0
SAMEA4384743,ERR1953527,,,,,,32
SAMEA4384412,ERR1953533,,,,,69,2
SAMEA4384744,ERR1953534,,,,,69,0
SAMEA4384413,ERR1953535,,,,,69,1
SAMEA4384637,ERR1953536,,,,,69,0
SAMEA4384414,ERR1953537,,,,,69,0
SAMEA4384799,ERR1953538,,,,,69,0
SAMEA4384415,ERR1953539,,,,,69,0
SAMEA4384638,ERR1953540,,,,,69,0
SAMEA4384416,ERR1953541,,,,,69,0
SAMEA4384745,ERR1953542,,,,,69,0
SAMEA4384417,ERR1953543,,,,,69,0
SAMEA4384639,ERR1953544,,,,,69,0
SAMEA4384418,ERR1953545,,,,,69,1
SAMEA4384840,ERR1953546,,,,,69,0
SAMEA4384419,ERR1953547,,,,,69,0
SAMEA4384640,ERR1953548,,,,,69,0
SAMEA4384746,ERR1953550,,,,,69,0
SAMEA4384421,ERR1953551,,,,,69,1
SAMEA4384641,ERR1953552,,,,,69,0
SAMEA4384422,ERR1953553,,,,,69,0
SAMEA4384800,ERR1953554,,,,,69,0
SAMEA4384423,ERR1953555,,,,,69,0
SAMEA4384642,ERR1953556,,,,,69,0
SAMEA4384424,ERR1953557,,,,,69,0
SAMEA4384747,ERR1953558,,,,,69,0
SAMEA4384643,ERR1953560,,,,,69,0
SAMEA4384427,ERR1953563,,,,,69,1
SAMEA4384644,ERR1953564,,,,,69,6
SAMEA4384428,ERR1953565,,,,,366,40
SAMEA4384748,ERR1953566,,,,,69,0
SAMEA4384429,ERR1953567,,,,,69,0
SAMEA4384645,ERR1953568,,,,,69,0
SAMEA4384430,ERR1953569,,,,,69,0
SAMEA4384801,ERR1953570,,,,,69,0
SAMEA4384431,ERR1953571,,,,,69,0
SAMEA4384646,ERR1953572,,,,,69,0
SAMEA4384432,ERR1953573,,,,,69,0
SAMEA4384749,ERR1953574,,,,,69,0
SAMEA4384433,ERR1953575,,,,,69,0
SAMEA4384647,ERR1953576,,,,,69,0
SAMEA4384434,ERR1953577,,,,,69,0
SAMEA4384960,ERR1953578,,,,,69,0
SAMEA4384435,ERR1953579,,,,,69,3
SAMEA4384648,ERR1953580,,,,,69,0
SAMEA4384436,ERR1953581,,,,,69,0
SAMEA4384437,ERR1953583,,,,,69,0
SAMEA4384649,ERR1953584,,,,,69,0
SAMEA4384438,ERR1953585,,,,,212,49
SAMEA4384802,ERR1953586,,,,,69,0
SAMEA4384439,ERR1953587,,,,,69,0
SAMEA4384650,ERR1953588,,,,,69,1
SAMEA4384440,ERR1953589,,,,,69,0
SAMEA4384751,ERR1953590,,,,,69,0
SAMEA4384441,ERR1953591,,,,,69,2
SAMEA4384442,ERR1953593,,,,,69,4
SAMEA4384828,ERR1953594,,,,,69,3
SAMEA4384443,ERR1953595,,,,,69,1
SAMEA4384652,ERR1953596,,,,,69,2
SAMEA4384444,ERR1953597,,,,,69,0
SAMEA4384445,ERR1953599,,,,,69,0
SAMEA4384653,ERR1953600,,,,,69,0
SAMEA4384446,ERR1953601,,,,,69,0
SAMEA4384803,ERR1953602,,,,,69,1
SAMEA4384447,ERR1953603,,,,,69,74
SAMEA4384654,ERR1953604,,,,,69,0
SAMEA4384448,ERR1953605,,,,,69,0
SAMEA4384753,ERR1953606,,,,,69,0
SAMEA4384655,ERR1953608,,,,,69,0
SAMEA4384450,ERR1953609,,,,,69,0
SAMEA4384656,ERR1953612,,,,,69,0
SAMEA4384452,ERR1953613,,,,,69,0
SAMEA4384754,ERR1953614,,,,,163,57
SAMEA4384657,ERR1953616,,,,,,60
SAMEA4384454,ERR1953617,,,,,69,2
SAMEA4384804,ERR1953618,,,,,69,0
SAMEA4384658,ERR1953620,,,,,69,1
SAMEA4384456,ERR1953621,,,,,69,2
SAMEA4384755,ERR1953622,,,,,69,0
SAMEA4384457,ERR1953623,,,,,69,1
SAMEA4384659,ERR1953624,,,,,69,0
SAMEA4384829,ERR1953626,,,,,69,0
SAMEA4384459,ERR1953627,,,,,69,2
SAMEA4384660,ERR1953628,,,,,69,2
SAMEA4384460,ERR1953629,,,,,69,2
SAMEA4384756,ERR1953630,,,,,69,2
SAMEA4384461,ERR1953631,,,,,69,2
SAMEA4384661,ERR1953632,,,,,69,2
SAMEA4384462,ERR1953633,,,,,69,2
SAMEA4384805,ERR1953634,,,,,69,2
SAMEA4384463,ERR1953635,,,,,69,57
SAMEA4384662,ERR1953636,,,,,69,2
SAMEA4384464,ERR1953637,,,,,69,2
SAMEA4384757,ERR1953638,,,,,69,2
SAMEA4384465,ERR1953639,,,,,69,11
SAMEA4384663,ERR1953640,,,,,69,2
SAMEA4384466,ERR1953641,,,,,69,2
SAMEA4384860,ERR1953642,,,,,69,0
SAMEA4384467,ERR1953643,,,,,69,0
SAMEA4384664,ERR1953644,,,,,69,2
SAMEA4384468,ERR1953645,,,,,69,2
SAMEA4384758,ERR1953646,,,,,69,2
SAMEA4384469,ERR1953647,,,,,69,2
SAMEA4384665,ERR1953648,,,,,69,0
SAMEA4384470,ERR1953649,,,,,69,2
SAMEA4384806,ERR1953650,,,,,69,2
SAMEA4384471,ERR1953651,,,,,69,2
SAMEA4384666,ERR1953652,,,,,69,2
SAMEA4384472,ERR1953653,,,,,69,2
SAMEA4384759,ERR1953654,,,,,69,0
SAMEA4384473,ERR1953655,,,,,69,1
SAMEA4384667,ERR1953656,,,,,69,11
SAMEA4384474,ERR1953657,,,,,69,1
SAMEA4384830,ERR1953658,,,,,69,0
SAMEA4384475,ERR1953659,,,,,69,2
SAMEA4384668,ERR1953660,,,,,69,0
SAMEA4384476,ERR1953661,,,,,69,0
SAMEA4384760,ERR1953662,,,,,69,0
SAMEA4384477,ERR1953663,,,,,69,1
SAMEA4384478,ERR1953664,,,,,69,2
SAMEA4384807,ERR1953665,,,,,69,0
SAMEA4384479,ERR1953666,,,,,69,0
SAMEA4384670,ERR1953667,,,,,69,1
SAMEA4384480,ERR1953668,,,,,69,0
SAMEA2275598,ERR2000961,VC_140,,,,69,0
SAMEA2275601,ERR2000962,VC_144,,,,69,0
SAMEA2275602,ERR2000963,VC_146,,,,69,0
SAMEA2275603,ERR2000964,VC_150,,,,69,0
SAMEA104124975,ERR2008310,150136,,,,68,0
SAMEA104124976,ERR2008311,150137,,,,68,0
SAMEA104124977,ERR2008312,930125,,,,68,5
SAMEA104124978,ERR2008340,CNRVC030089,1991,Mexico,,69,2
SAMEA104124979,ERR2008341,CNRVC030096,1991,Mexico,,69,2
SAMEA104124980,ERR2008342,CNRVC030097,1991,Mexico,,69,1
SAMEA104124981,ERR2008343,CNRVC030098,1991,Mexico,,69,6
SAMEA104124982,ERR2008344,CNRVC030099,,,,69,4
SAMEA104124983,ERR2008345,CNRVC030100,,,,69,7
SAMEA104124984,ERR2008346,CNRVC030104,1991,Mexico,,69,1
SAMEA104124985,ERR2008347,CNRVC030106,1991,Mexico,,69,0
SAMEA104124986,ERR2008348,CNRVC030107,1992,Mexico,,69,1
SAMEA104124987,ERR2008349,CNRVC030109,1992,Mexico,,69,3
SAMEA104124988,ERR2008350,CNRVC030110,1992,Mexico,,69,4
SAMEA104124989,ERR2008351,CNRVC030112,,,,737,36
SAMEA104124990,ERR2008352,CNRVC030113,1999,Mexico,,69,1
SAMEA104124991,ERR2008353,CNRVC030114,1999,Mexico,,69,19
SAMEA104124992,ERR2008354,CNRVC030118,,,,170,11
SAMEA104124993,ERR2008355,CNRVC030119,,,,737,38
SAMEA104124994,ERR2008356,CNRVC030121,,,,170,12
SAMEA104124996,ERR2008357,CNRVC030123,,,,731,18
SAMEA104124997,ERR2008358,CNRVC030124,1992,Mexico,,69,1
SAMEA104124998,ERR2008359,CNRVC030125,1992,Mexico,,69,1
SAMEA104124999,ERR2008360,CNRVC030126,1992,Mexico,,69,5
SAMEA104125000,ERR2008361,CNRVC030127,1992,Mexico,,69,1
SAMEA104125001,ERR2008362,CNRVC030128,1992,Mexico,,69,1
SAMEA104125002,ERR2008363,CNRVC030129,1992,Mexico,,69,1
SAMEA104125003,ERR2008364,CNRVC030130,1992,Mexico,,69,0
SAMEA104125004,ERR2008365,CNRVC030132,1993,Mexico,,69,1
SAMEA104125005,ERR2008366,CNRVC030133,1993,Mexico,,69,0
SAMEA104125025,ERR2008386,CNRVC030134,1993,Mexico,,69,1
SAMEA104125026,ERR2008387,CNRVC030135,1993,Mexico,,69,0
SAMEA104125027,ERR2008388,CNRVC030138,1993,Mexico,,69,0
SAMEA104125028,ERR2008389,CNRVC030140,1993,Mexico,,69,1
SAMEA104125029,ERR2008390,CNRVC030141,,,,69,1
SAMEA104125030,ERR2008391,CNRVC030142,1993,Mexico,,69,0
SAMEA104125031,ERR2008392,CNRVC030146,1994,Mexico,,69,0
SAMEA104125032,ERR2008393,CNRVC030148,1994,Mexico,,69,1
SAMEA104125033,ERR2008394,CNRVC030149,1994,Mexico,,69,1
SAMEA104125034,ERR2008395,CNRVC030150,1994,Mexico,,69,0
SAMEA104125035,ERR2008396,CNRVC030151,1994,Mexico,,69,0
SAMEA104125036,ERR2008397,CNRVC030153,1994,Mexico,,69,0
SAMEA104125037,ERR2008398,CNRVC030157,1995,Mexico,,69,1
SAMEA104125038,ERR2008399,CNRVC030158,1995,Mexico,,69,1
SAMEA104125039,ERR2008400,CNRVC030161,1995,Mexico,,69,1
SAMEA104125040,ERR2008401,CNRVC030162,1995,Mexico,,69,2
SAMEA104125041,ERR2008402,CNRVC030164,1995,Mexico,,69,1
SAMEA104125042,ERR2008403,CNRVC030165,1995,Mexico,,69,4
SAMEA104125043,ERR2008404,CNRVC030166,1995,Mexico,,69,4
SAMEA104125044,ERR2008405,CNRVC030167,1995,Mexico,,69,0
SAMEA104125045,ERR2008406,CNRVC030172,1995,Mexico,,69,1
SAMEA104125046,ERR2008407,CNRVC030173,,,,69,9
SAMEA104125047,ERR2008408,CNRVC030175,1995,Mexico,,69,1
SAMEA104125048,ERR2008410,CNRVC030179,1996,Mexico,,69,0
SAMEA104125050,ERR2008411,CNRVC030185,1996,Mexico,,69,3
SAMEA104125051,ERR2008412,CNRVC030186,2000,Mexico,,69,1
SAMEA104125052,ERR2008413,CNRVC030187,1998,Mexico,,69,0
SAMEA104125053,ERR2008414,CNRVC030188,2000,Mexico,,69,1
SAMEA104125054,ERR2008415,CNRVC030189,,,,170,9
SAMEA104125055,ERR2008416,CNRVC030190,,,,173,10
SAMEA104125056,ERR2008417,CNRVC030191,,,,,51
SAMEA104125057,ERR2008418,CNRVC030192,1996,Mexico,,69,1
SAMEA104125058,ERR2008419,CNRVC030196,1997,Mexico,,69,0
SAMEA104125059,ERR2008420,CNRVC030198,1997,Mexico,,69,1
SAMEA104125060,ERR2008421,CNRVC030203,1996,Mexico,,69,1
SAMEA104125061,ERR2008422,CNRVC030205,1997,Mexico,,69,4
SAMEA104125062,ERR2008423,CNRVC030206,1997,Mexico,,69,1
SAMEA104125063,ERR2008424,CNRVC030207,,,,69,0
SAMEA104125064,ERR2008425,CNRVC030208,,,,69,0
SAMEA104125065,ERR2008426,CNRVC030209,1997,Mexico,,69,0
SAMEA104125066,ERR2008427,CNRVC030210,,,,737,36
SAMEA104125067,ERR2008428,CNRVC030211,,,,737,58
SAMEA104125068,ERR2008429,CNRVC030212,,,,737,36
SAMEA104125069,ERR2008430,CNRVC030213,1998,Mexico,,69,2
SAMEA104125070,ERR2008431,CNRVC030214,,,,170,9
SAMEA104125071,ERR2008432,CNRVC030215,,,,737,36
SAMEA104125072,ERR2008433,CNRVC030216,,,,69,1
SAMEA104125073,ERR2008434,CNRVC030217,2000,Mexico,,69,0
SAMEA104125074,ERR2008435,CNRVC030219,,,,,51
SAMEA104125079,ERR2008743,CNRVC030220,,,,,51
SAMEA104125080,ERR2008744,CNRVC030226,,,,737,35
SAMEA104125081,ERR2008745,CNRVC030227,,,,170,9
SAMEA104125082,ERR2008746,CNRVC030229,1997,Mexico,,69,0
SAMEA104125083,ERR2008747,CNRVC030231,,,,173,11
SAMEA104125084,ERR2008748,CNRVC030238,1998,Mexico,,69,1
SAMEA104125085,ERR2008749,CNRVC030240,1998,Mexico,,69,0
SAMEA104125086,ERR2008750,CNRVC030244,1999,Mexico,,69,3
SAMEA104125087,ERR2008751,CNRVC030248,,,,69,4
SAMEA104125088,ERR2008752,CNRVC030250,1998,Mexico,,69,2
SAMEA104125094,ERR2008754,CNRVC160167,,,,48,46
SAMEA104125095,ERR2008755,CNRVC160168,,,,,37
SAMEA104125096,ERR2008756,CNRVC160169,1991,Bolivia,,69,2
SAMEA104125097,ERR2008757,CNRVC160170,1991,Brazil,,69,0
SAMEA104125098,ERR2008758,CNRVC160171,1991,Brazil,,69,4
SAMEA104125099,ERR2008759,CNRVC160172,,,,69,2
SAMEA104125100,ERR2008760,CNRVC160173,1991,Colombia,,69,3
SAMEA104125101,ERR2008761,CNRVC160174,1992,Colombia,,69,5
SAMEA104125102,ERR2008762,CNRVC940046,1991,Peru,,69,0
SAMEA104125103,ERR2008763,CNRVC940054,,,,75,2
SAMEA104125104,ERR2008764,CNRVC940055,,,,,46
SAMEA104125105,ERR2008765,CNRVC940056,,,,48,41
SAMEA104125106,ERR2008766,CNRVC940057,,,,75,8
SAMEA104125107,ERR2008767,CNRVC940058,,,,731,14
SAMEA104125108,ERR2008768,CNRVC940059,,,,,19
SAMEA104125109,ERR2008769,CNRVC940060,,,,,36
SAMEA104125111,ERR2008771,CNRVC940062,,,,48,41
SAMEA104543372,ERR2265589,31_1,,,O1,69,0
SAMEA104543373,ERR2265590,CNRVC110078,,,O1,69,2
SAMEA104543374,ERR2265591,CNRVC140054,,,O1,515,3
SAMEA104543421,ERR2265645,CNRVC140069,,,O1,515,3
SAMEA104543422,ERR2265646,CNRVC140072,,,O1,515,3
SAMEA104543423,ERR2265647,CNRVC140077,,,O1,515,3
SAMEA104543424,ERR2265648,CNRVC140079,,,O1,515,3
SAMEA104543425,ERR2265649,CNRVC140176,,,O1,69,5
SAMEA104543426,ERR2265650,CNRVC150056,,,O1,69,0
SAMEA104543427,ERR2265651,CNRVC150071,,,O1,69,1
SAMEA104543428,ERR2265652,CNRVC150140,,,O1,69,0
SAMEA104543429,ERR2265653,CNRVC150141,,,O1,515,3
SAMEA104543430,ERR2265654,CNRVC150165,,,O1,515,3
SAMEA104543431,ERR2265655,CNRVC150168,,,O1,69,0
SAMEA104543432,ERR2265656,CNRVC150169,,,O1,69,0
SAMEA104543433,ERR2265657,CNRVC150170,,,O1,69,0
SAMEA104543434,ERR2265658,CNRVC150171,,,O1,69,0
SAMEA104543435,ERR2265659,CNRVC150177,,,O1,69,1
SAMEA104543436,ERR2265660,CNRVC150181,,,O1,69,0
SAMEA104543437,ERR2265661,CNRVC150256,,,O1,69,0
SAMEA104543438,ERR2265662,CNRVC160013,,,O1,69,4
SAMEA104543439,ERR2265663,CNRVC160014,,,O1,69,0
SAMEA104543440,ERR2265664,CNRVC160016,,,O1,69,1
SAMEA104543445,ERR2265665,CNRVC160017,,,O1,69,2
SAMEA104543446,ERR2265666,CNRVC160018,,,O1,69,1
SAMEA104543447,ERR2265667,CNRVC160461,,,O1,515,3
SAMEA104543448,ERR2265668,CNRVC160462,,,O1,515,3
SAMEA104543450,ERR2265669,CNRVC170159,,,O1,515,3
SAMEA104543451,ERR2265670,CNRVC170160,,,O1,515,3
SAMEA104543452,ERR2265671,CNRVC170161,,,O1,515,3
SAMEA104543453,ERR2265672,CNRVC170164,,,O1,515,3
SAMEA104543454,ERR2265673,CNRVC170165,,,O1,515,3
SAMEA104543455,ERR2265674,CNRVC170168,,,O1,69,2
SAMEA104543456,ERR2265675,CNRVC170169,,,O1,69,1
SAMEA104543457,ERR2265676,CNRVC170170,,,O1,,13
SAMEA104543458,ERR2265677,CNRVC170173,,,O1,69,1
SAMEA104543459,ERR2265678,CNRVC170174,,,O1,69,33
SAMEA104547394,ERR2269613,CNRVC170175,,,O1,69,3
SAMEA104547395,ERR2269614,CNRVC170176,,,O1,69,4
SAMEA104547396,ERR2269615,CNRVC170177,,,O1,69,0
SAMEA104547397,ERR2269616,CNRVC170178,,,O1,69,0
SAMEA104547398,ERR2269617,CNRVC170179,,,O1,69,1
SAMEA104547399,ERR2269618,CNRVC170180,,,O1,69,0
SAMEA104547400,ERR2269619,CNRVC170181,,,O1,69,1
SAMEA104547401,ERR2269620,CNRVC170182,,,O1,69,1
SAMEA104547402,ERR2269621,CNRVC170183,,,O1,69,1
SAMEA104547403,ERR2269622,CNRVC170184,,,O1,69,1
SAMEA104547414,ERR2269640,CNRVC170185,,,O1,69,1
SAMEA104547415,ERR2269641,CNRVC170186,,,O1,69,1
SAMEA104547416,ERR2269642,CNRVC170187,,,O1,69,1
SAMEA104547417,ERR2269643,CNRVC170188,,,O1,69,1
SAMEA104547418,ERR2269644,CNRVC170189,,,O1,69,0
SAMEA104547419,ERR2269645,CNRVC170190,,,O1,69,1
SAMEA104547420,ERR2269646,CNRVC170191,,,O1,69,1
SAMEA104547421,ERR2269647,CNRVC170192,,,O1,69,1
SAMEA104547422,ERR2269648,CNRVC170193,,,O1,69,1
SAMEA104547423,ERR2269649,CNRVC170194,,,O1,69,1
SAMEA104547424,ERR2269650,CNRVC170195,,,O1,69,1
SAMEA104547632,ERR2269709,CNRVC170196,,,O1,69,1
SAMEA104547633,ERR2269710,CNRVC170197,,,O1,69,1
SAMEA104547634,ERR2269711,CNRVC170198,,,O1,69,1
SAMEA104547635,ERR2269712,CNRVC170199,,,O1,69,1
SAMEA104547636,ERR2269713,CNRVC170200,,,O1,69,1
SAMEA104547637,ERR2269714,CNRVC170201,,,O1,69,1
SAMEA104547638,ERR2269715,CNRVC170202,,,O1,69,1
SAMEA104547639,ERR2269716,CNRVC170203,,,O1,69,1
SAMEA104547640,ERR2269717,CNRVC170204,,,O1,69,1
SAMEA104547641,ERR2269718,CNRVC170205,,,O1,69,2
SAMEA104548051,ERR2269808,THSTI_20370,,,O1,69,2
SAMEA104548052,ERR2269809,CNRVC170206,,,O1,69,0
SAMEA104548053,ERR2269810,CNRVC170207,,,O1,69,0
SAMEA104548054,ERR2269811,CNRVC170208,,,O1,69,1
SAMEA104548055,ERR2269832,CNRVC170240,,,O1,69,1
SAMEA104548056,ERR2269833,CNRVC170241,,,O1,69,1
SAMEA104548057,ERR2269834,CNRVC170242,,,O1,69,1
SAMEA104548058,ERR2269835,CNRVC170248,,,O1,69,0
SAMEA104548059,ERR2269836,CNRVC170249,,,O1,69,0
SAMEA104548060,ERR2269837,CNRVC170250,,,O1,69,1
SAMEA104548061,ERR2269838,CNRVC170252,,,O1,69,1
SAMEA104548063,ERR2269921,THSTI_23485,,,O1,69,2
SAMEA104548064,ERR2269922,THSTI_23835,,,O1,69,1
SAMEA104548065,ERR2269923,THSTI_26866,,,O1,69,2
SAMEA104548066,ERR2269924,THSTI_26871,,,O1,69,3
SAMEA104548067,ERR2269925,THSTI_26907,,,O1,69,5
SAMEA104548068,ERR2269926,THSTI_27071,,,O1,69,4
SAMEA104548069,ERR2269927,THSTI_31698,,,O1,69,1
SAMEA104548070,ERR2269928,THSTI_32676,,,O1,69,0
SAMEA104548071,ERR2269929,THSTI_33102,,,O1,69,22
SAMEA104548072,ERR2269930,THSTI_36124,,,O1,69,0
SAMEA104548098,ERR2269944,THSTI_36133,,,O1,69,0
SAMEA104548099,ERR2269945,THSTI_36136,,,O1,69,0
SAMEA104548100,ERR2269946,THSTI_36268,,,O1,69,0
SAMEA104548101,ERR2269947,THSTI_41049,,,O1,69,1
SAMEA104548102,ERR2269948,THSTI_41055,,,O1,69,0
SAMEA104548103,ERR2269949,THSTI_41081,,,O1,69,3
SAMEA104548104,ERR2269950,THSTI_45544,,,O1,69,2
SAMEA104548105,ERR2269951,THSTI_45869,,,O1,69,0
SAMEA104548106,ERR2269952,THSTI_45983,,,O1,69,0
SAMEA104548107,ERR2269953,THSTI_46073,,,O1,69,0
SAMEA104548811,ERR2270655,THSTI_52586,,,O1,69,1
SAMEA104548812,ERR2270656,THSTI_52588,,,O1,69,1
SAMEA104548813,ERR2270657,THSTI_52629,,,O1,69,1
SAMEA104548814,ERR2270658,THSTI_52665,,,O1,69,0
SAMEA104548815,ERR2270659,THSTI_55199,,,O1,69,1
SAMEA104548816,ERR2270660,THSTI_56650,,,O1,69,0
SAMEA104548817,ERR2270661,THSTI_56695,,,O1,69,0
SAMEA104548818,ERR2270662,THSTI_56712,,,O1,69,1
SAMEA101001418,ERR2275156,,,,,69,0
SAMEA101002168,ERR2275157,,,,,69,0
SAMEA101002918,ERR2275158,,,,,69,0
SAMEA101008918,ERR2275159,,,,,69,0
SAMEA101012668,ERR2275160,,,,,69,0
SAMEA101016418,ERR2275161,,,,,69,1
SAMEA101020918,ERR2275162,,,,,69,2
SAMEA101023918,ERR2275163,,,,,69,0
SAMEA101025418,ERR2275164,,,,,69,0
SAMEA100996168,ERR2525418,,,,,69,0
SAMEA100996918,ERR2525419,,,,,69,0
SAMEA100997668,ERR2525420,,,,,69,0
SAMEA100998418,ERR2525421,,,,,69,0
SAMEA100999168,ERR2525422,,,,,69,0
SAMEA100999918,ERR2525423,,,,,69,0
SAMEA101000668,ERR2525424,,,,,69,0
SAMEA101003668,ERR2525425,,,,,69,0
SAMEA101004418,ERR2525426,,,,,69,0
