BioSample,ST,Void_loci,SourceSeq,AMR genes,Identifier,SourceCountry,IsolatYear,Serogroup_type,Plasmid
SAMEA103900841,69,1,ERR1878589,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC100224,Nigeria,2010 ,,
SAMEA103900842,69,0,ERR1878590,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC100240,Chad,2010 ,,
SAMEA103900843,69,0,ERR1878591,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC100246,Chad,2010 ,,
SAMEA103900844,69,0,ERR1878592,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC100278,Haiti,2010 ,,
SAMEA103900845,69,0,ERR1878593,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC110058,Nigeria,2011 ,,
SAMEA103900846,69,0,ERR1878594,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC110060,Nigeria,2011 ,,
SAMEA103900847,69,0,ERR1878595,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC110096,Cameroon,2010 ,,
SAMEA103900848,69,3,ERR1878596,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC110113,Cameroon,2011 ,,
SAMEA103900849,69,0,ERR1878597,"catB9, dfrA1, varG",CNRVC110120,Cameroon,2011 ,,
SAMEA103900850,69,0,ERR1878598,"catB9, dfrA1, varG",CNRVC110128,Cameroon,2010 ,,
SAMEA103900851,69,0,ERR1878599,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC110230,Chad,2011 ,,
SAMEA103900852,69,1,ERR1878600,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC110241,Chad,2011 ,,
SAMEA103900853,69,0,ERR1878601,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC110262,Nigeria,2011 ,,
SAMEA103900854,515,0,ERR1878602,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC110266,Central African Republic,2011 ,,
SAMEA103900855,515,0,ERR1878603,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC110272,Central African Republic,2011 ,,
SAMEA103900856,69,0,ERR1878604,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC120194,Guinea-Bissau,2012 ,,
SAMEA103900857,69,0,ERR1878605,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC120195,Guinea-Bissau,2012 ,,
SAMEA103900858,515,1,ERR1878607,"catB9, dfrA1, varG",CNRVC140012,DR Congo,2014 ,,
SAMEA103900859,515,0,ERR1878608,"aac(3)-IIe, aph(3'')-Ib, aph(6)-Id, blaCTX-M-15, blaTEM-1, catB9, dfrA1, floR, mph(A), sul1, sul2, tet(A), varG",CNRVC140013,DR Congo,2014 ,,IncC
SAMEA103900860,69,0,ERR1878609,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC140027,Nigeria,2014 ,,
SAMEA103900861,69,0,ERR1878610,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC140150,Nigeria,2014 ,,
SAMEA103900862,69,0,ERR1878611,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC140160,Niger,2010 ,,
SAMEA103900863,69,0,ERR1878612,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC140167,Niger,2010 ,,
SAMEA103900864,69,6,ERR1878613,"catB9, varG",CNRVC150131,Ukraine,1970 ,,
SAMEA103900865,69,8,ERR1878614,"catB9, varG",CNRVC150132,Ukraine,1974 ,,
SAMEA103900866,69,3,ERR1878615,"catB9, varG",CNRVC150133,Russia,1990 ,,
SAMEA103900867,69,4,ERR1878616,"catB9, varG",CNRVC150134,Russia,1990 ,,
SAMEA103905029,69,6,ERR1879384,"catB9, varG",CNRVC150210,Cote d'Ivoire,1988 ,,
SAMEA103905030,69,24,ERR1879385,"catB9, varG",CNRVC150211,Kenya,1998 ,,
SAMEA103905031,69,2,ERR1879386,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC150212,Tanzania,1998 ,,
SAMEA103905032,69,70,ERR1879387,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(C), varG",CNRVC150213,Ethiopia,1998 ,,IncC
SAMEA103905033,69,6,ERR1879388,"catB9, varG",CNRVC150214,Romania,1981 ,,
SAMEA103905035,69,11,ERR1879390,"catB9, varG",CNRVC150216,Turkey,1976 ,,
SAMEA103905036,69,7,ERR1879391,"catB9, varG",CNRVC150217,Ghana/Nigeria,1982 ,,
SAMEA103905037,69,11,ERR1879392,"catB9, varG",CNRVC150218,Ethiopia,1985 ,,
SAMEA103905038,69,5,ERR1879393,"aadA1, catB9, dfrA1, sul1, varG",CNRVC150219,Romania,1994 ,,
SAMEA103905091,69,7,ERR1879429,"catB9, varG",CNRVC150220,Pakistan,1992 ,,
SAMEA103905092,69,4,ERR1879430,"aadA1, catB9, sul1, varG",CNRVC150221,Romania,1991 ,,
SAMEA103905093,69,5,ERR1879431,"catB9, varG",CNRVC150222,Romania,1987 ,,
SAMEA103905095,69,12,ERR1879433,"catB9, varG",CNRVC150224,Romania,1990 ,,
SAMEA103905096,69,6,ERR1879434,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC150226,Senegal,1994 ,,
SAMEA103905097,69,8,ERR1879435,"catB9, varG",CNRVC150227,Cote d'Ivoire,1988 ,,
SAMEA103905098,69,4,ERR1879436,"catB9, varG",CNRVC150228,Tunisia,1973 ,,
SAMEA103905100,69,11,ERR1879438,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",CNRVC150230,Italy,1994 ,,
SAMEA103905197,69,2,ERR1879535,"catB9, varG",CNRVC150231,Cote d'Ivoire,1988 ,,
SAMEA103905198,,11,ERR1879536,"catB9, varG",CNRVC150234,Somalia,1985 ,,
SAMEA103905199,69,20,ERR1879537,"aph(3'')-Ib, aph(3')-Ia, aph(6)-Id, blaTEM-1, catB9, sul2, varG",CNRVC150236,Somalia,1985 ,,IncC
SAMEA103905200,69,5,ERR1879538,"aadA1, catB9, sul1, varG",CNRVC150239,Cambodia,1993 ,,
SAMEA103905201,69,8,ERR1879539,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC150240,Kenya,1998 ,,
SAMEA103905202,69,5,ERR1879540,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC150243,Kenya,1998 ,,
SAMEA103905203,69,11,ERR1879541,"catB9, varG",CNRVC150244,Italy,1973 ,,
SAMEA103905204,69,8,ERR1879542,"catB9, varG",CNRVC150245,Cote d'Ivoire,1988 ,,
SAMEA103905205,69,5,ERR1879543,"catB9, varG",CNRVC150251,Kenya,1998 ,,
SAMEA103905206,69,8,ERR1879544,"catB9, varG",CNRVC150252,Kenya,1998 ,,
SAMEA103905207,69,9,ERR1879545,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(C), varG",CNRVC150254,Ethiopia,1998 ,,IncC
SAMEA103905208,69,1,ERR1879546,"catB9, varG",CNRVC900108,Guinea,1990 ,,
SAMEA103905209,69,2,ERR1879547,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(C), varG",CNRVC900125,Mozambique,1990 ,,IncC
SAMEA103905211,69,6,ERR1879549,"catB9, varG",CNRVC910164,Turkey,1991 ,,
SAMEA103905212,69,0,ERR1879550,"catB9, varG",CNRVC910416,Kurdistan,1991 ,,
SAMEA103905213,69,13,ERR1879551,"catB9, varG",CNRVC920171,Vietnam,1983 ,,
SAMEA103905214,69,2,ERR1879552,"aph(3'')-Ib, aph(6)-Id, catB9, floR, sul2, tet(A), varG",CNRVC920176,Sao Tome,1989 ,,
SAMEA103905215,69,0,ERR1879553,"aadA1, catB9, sul1, varG",CNRVC930003,India,1992 ,,
SAMEA103905216,69,1,ERR1879554,"catB9, varG",CNRVC930025,French Guiana,1993 ,,
SAMEA103905527,69,6,ERR1879559,"catB9, varG",CNRVC930029,Myanmar,1971 ,,
SAMEA103905528,69,0,ERR1879560,"catB9, varG",CNRVC930030,India,1962 ,,
SAMEA103905529,69,0,ERR1879561,"catB9, varG",CNRVC930033,Israel,1970 ,,
SAMEA103905530,69,1,ERR1879562,"catB9, varG",CNRVC930036,India,1962 ,,
SAMEA103905531,69,0,ERR1879563,"catB9, varG",CNRVC930044,Lebanon,1970 ,,
SAMEA103905532,69,0,ERR1879564,"catB9, varG",CNRVC930060,Philippines,1961 ,,
SAMEA103905533,69,0,ERR1879565,"catB9, varG",CNRVC930061,China,1961 ,,
SAMEA103905534,69,3,ERR1879566,"catB9, varG",CNRVC930066,India,1964 ,,
SAMEA103905535,69,0,ERR1879567,"catB9, varG",CNRVC930067,Cambodia,1963 ,,
SAMEA103905536,69,0,ERR1879568,"catB9, varG",CNRVC930076,Iran,1965 ,,
SAMEA103905537,69,0,ERR1879569,"catB9, varG",CNRVC930079,France,1970 ,,
SAMEA103905538,69,0,ERR1879570,"aadA1, catB9, sul1, varG",CNRVC930155,Thailand,1993 ,,
SAMEA103905539,69,1,ERR1879571,"catB9, varG",CNRVC930174,Sri Lanka,1981 ,,
SAMEA103905540,69,9,ERR1879572,"catB9, varG",CNRVC930301,Djibouti,1993 ,,
SAMEA103905541,69,2,ERR1879573,"catB9, varG",CNRVC940044,Philippines,1963 ,,
SAMEA103905929,69,0,ERR1879574,"aadA1, catB9, sul1, varG",CNRVC940047,Romania,1991 ,,
SAMEA103905930,69,5,ERR1879575,"catB9, varG",CNRVC940066,Somalia,1994 ,,
SAMEA103905931,69,0,ERR1879576,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC940135,Nepal,1994 ,,
SAMEA103905932,69,1,ERR1879577,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",CNRVC940149,Albania,1994 ,,
SAMEA103905933,69,3,ERR1879578,"catB9, varG",CNRVC940183,French Guiana,1994 ,,
SAMEA103905934,69,3,ERR1879579,"catB9, varG",CNRVC950014,Ecuador,1995 ,,
SAMEA103905935,69,4,ERR1879580,"catB9, varG",CNRVC950100,Malaysia,1973 ,,
SAMEA103905936,69,2,ERR1879581,"catB9, varG",CNRVC950161,Vietnam,1966 ,,
SAMEA103905937,69,2,ERR1879582,"catB9, varG",CNRVC950165,Vietnam,1968 ,,
SAMEA103905938,69,2,ERR1879583,"catB9, varG",CNRVC950172,Vietnam,1969 ,,
SAMEA103905939,69,1,ERR1879584,"catB9, varG",CNRVC950218,Philippines,1973 ,,
SAMEA103905940,69,1,ERR1879585,"catB9, varG",CNRVC950250,Italy,1974 ,,
SAMEA103905941,69,1,ERR1879586,"catB9, varG",CNRVC950340,Senegal,1974 ,,
SAMEA103905942,69,4,ERR1879587,"catB9, varG",CNRVC950641,Myanmar,1972 ,,
SAMEA103905943,69,3,ERR1879588,"aadA1, catB9, dfrA1, sul1, varG",CNRVC950792,Iraq,1995 ,,
SAMEA103906376,69,7,ERR1879593,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",CNRVC950798,Iraq,1995 ,,
SAMEA103906377,69,6,ERR1879594,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",CNRVC950800,Iraq,1995 ,,
SAMEA103906378,69,2,ERR1879595,"catB9, varG",CNRVC960142,Sudan,1996 ,,
SAMEA103906379,,39,ERR1879596,varG,CNRVC960188,Indonesia,1937 ,,
SAMEA103906380,69,0,ERR1879597,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960215,India,1996 ,,
SAMEA103906381,69,0,ERR1879598,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960260,Mauritania,1996 ,,
SAMEA103906382,69,0,ERR1879599,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC960263,Mauritania,1996 ,,
SAMEA103906383,69,1,ERR1879600,"catB9, varG",CNRVC960276,Sudan,1996 ,,
SAMEA103906384,69,3,ERR1879601,"catB9, varG",CNRVC960768,Iraq,1966 ,,
SAMEA103906385,69,3,ERR1879602,"catB9, varG",CNRVC960778,Iraq,1966 ,,
SAMEA103906386,69,1,ERR1879603,"catB9, varG",CNRVC960799,Iran,1965 ,,
SAMEA103906388,69,0,ERR1879604,"catB9, varG",CNRVC960800,Iran,1965 ,,
SAMEA103906389,69,0,ERR1879605,"catB9, varG",CNRVC960842,Iran,1965 ,,
SAMEA103906390,69,0,ERR1879606,"catB9, varG",CNRVC960871,Iran,1965 ,,
SAMEA103906391,69,0,ERR1879607,"catB9, varG",CNRVC960872,Iran,1965 ,,
SAMEA103907194,69,3,ERR1879624,"catB9, varG",CNRVC960891,Israel,1970 ,,
SAMEA103907195,69,0,ERR1879625,"catB9, varG",CNRVC960899,Israel,1970 ,,
SAMEA103907196,69,1,ERR1879626,"catB9, varG",CNRVC960911,Israel,1970 ,,
SAMEA103907197,69,0,ERR1879627,"catB9, varG",CNRVC960918,Jordan,1970 ,,
SAMEA103907198,69,0,ERR1879628,"catB9, varG",CNRVC960922,Lebanon,1970 ,,
SAMEA103907199,69,0,ERR1879629,"catB9, varG",CNRVC960976,Papua New Guinea,1962 ,,
SAMEA103907200,69,0,ERR1879630,"catB9, varG",CNRVC961005,Pakistan,1964 ,,
SAMEA103907201,69,0,ERR1879631,"catB9, varG",CNRVC961017,Slovakia,1970 ,,
SAMEA103907202,69,0,ERR1879632,"catB9, varG",CNRVC961018,Slovakia,1970 ,,
SAMEA103907203,69,0,ERR1879633,"catB9, varG",CNRVC961077,Thailand,1963 ,,
SAMEA103907204,69,0,ERR1879634,"catB9, varG",CNRVC961129,Vietnam,1964 ,,
SAMEA103907205,71,10,ERR1879635,varG,CNRVC961190,Indonesia,1937 ,,
SAMEA103907206,69,5,ERR1879636,"catB9, varG",CNRVC970056,Burundi,1997 ,,
SAMEA103907207,69,0,ERR1879637,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC970077,India,1997 ,,
SAMEA103907208,69,4,ERR1879638,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC980374,Chad,1998 ,,
SAMEA103908343,69,1,ERR1879644,"aph(3'')-Ib, aph(6)-Id, catB9, floR, sul2, tet(A), varG",CNRVC990194,Cambodia,1999 ,,
SAMEA103908344,69,1,ERR1879645,"aph(3'')-Ib, aph(6)-Id, catB9, floR, sul2, tet(A), varG",CNRVC990209,Laos,1999 ,,
SAMEA103908345,69,0,ERR1879646,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC990234,Burkina Faso,1999 ,,
SAMEA103908346,69,1,ERR1879647,"catB9, varG",CNRVC990256,Republic of the Congo,1999 ,,
SAMEA103908347,69,0,ERR1879648,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",CNRVC990298,Afghanistan,1999 ,,
SAMEA103908348,69,0,ERR1879649,"aac(3)-IIe, aph(3'')-Ib, aph(3')-Ia, aph(6)-Id, blaCMY, blaSCO-1, blaSHV-12, blaTEM-1, catB9, dfrA1, dfrA30, floR, sul2, tet(A), varG",CNRVC990299,Afghanistan,1999 ,,IncC
SAMEA103908349,69,2,ERR1879650,"catB9, varG",CNRVC990329,Cameroon,1999 ,,
SAMEA103908350,69,2,ERR1879651,"aac(6')-IIc, aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(C), varG",F135,Cameroon,1993 ,,IncC
SAMEA103908351,69,1,ERR1879652,"catB9, varG",F1393,Djibouti,1993 ,,
SAMEA103908352,69,12,ERR1879653,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), varG",F3397,Zambia_South Africa,1996 ,,IncC
SAMEA103908353,69,4,ERR1879654,"catB9, varG",F3403,Zambia_South Africa,1996 ,,
SAMEA103908354,69,4,ERR1879655,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), varG",F3835,Tanzania,1997 ,,IncC
SAMEA103908355,69,2,ERR1879656,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",F4169,Nigeria,1997 ,,
SAMEA103908356,69,3,ERR1879657,"catB9, varG",F4170,Nigeria,1997 ,,
SAMEA103908357,69,5,ERR1879658,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), varG",F5096,Malawi,1997 ,,IncC
SAMEA103910183,69,3,ERR1880761,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), varG",F5097,Malawi,1997 ,,IncC
SAMEA103910184,69,1,ERR1880762,"aph(3'')-Ib, aph(6)-Id, blaTEM-1, catB9, dfrA1, floR, sul2, tet(B), varG",F5144,Guinea-Bissau,1997 ,,IncC
SAMEA103910185,69,2,ERR1880763,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",F5149,Mozambique,1997 ,,
SAMEA103910186,69,6,ERR1880764,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), tet(C), varG",F5197,Zambia,1998 ,,IncC
SAMEA103910187,69,5,ERR1880765,"aph(3'')-Ib, aph(6)-Id, blaCARB-4, catA1, catB9, dfrA15, sul1, sul2, tet(B), tet(C), varG",F5198,Zambia,1998 ,,IncC
SAMEA103910188,69,0,ERR1880766,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",F5332,Tanzania,1998 ,,
SAMEA103910189,69,1,ERR1880767,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, sul2, varG",F5333,Tanzania,1998 ,,
SAMEA103910190,69,2,ERR1880768,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",F8478,South Africa,2002 ,,
SAMEA103910191,69,2,ERR1880769,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",F8479,South Africa,2002 ,,
SAMEA103910192,69,0,ERR1880770,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",K0107,Mali,2003 ,,
SAMEA103910193,69,0,ERR1880771,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",K0108,Mali,2003 ,,
SAMEA103910194,69,0,ERR1880772,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",K6975,Guinea-Bissau,2008 ,,
SAMEA103910195,69,0,ERR1880773,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",K6979,Guinea-Bissau,2008 ,,
SAMEA103910196,69,3,ERR1880774,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",NICD_1241,South Africa,2001 ,,
SAMEA103910197,69,2,ERR1880775,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",NICD_1242,South Africa,2001 ,,
SAMEA103910198,69,2,ERR1880776,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",NICD_1264,South Africa,2001 ,,
SAMEA103910199,69,2,ERR1880777,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",NICD_1405,South Africa,2001 ,,
SAMEA103910200,69,3,ERR1880778,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",NICD_14191,South Africa,2001 ,,
SAMEA103910201,69,3,ERR1880779,"aadA1, catB9, dfrA1, sul1, varG",NICD_14794,South Africa,2001 ,,
SAMEA103910202,69,3,ERR1880780,"aadA1, catB9, dfrA1, sul1, varG",NICD_15070,South Africa,2001 ,,
SAMEA103910203,69,3,ERR1880781,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",NICD_15104,South Africa,2001 ,,
SAMEA103910204,69,3,ERR1880782,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",NICD_15907,South Africa,2001 ,,
SAMEA103910205,69,2,ERR1880783,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",NICD_15959,South Africa,2001 ,,
SAMEA103910206,69,3,ERR1880784,"aadA1, catB9, dfrA1, sul1, varG",NICD_16211,South Africa,2001 ,,
SAMEA103910207,69,6,ERR1880785,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",NICD_16230,South Africa,2001 ,,
SAMEA103910209,69,3,ERR1880787,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",NICD_16756,South Africa,2001 ,,
SAMEA103910210,69,2,ERR1880788,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",NICD_16879,South Africa,2001 ,,
SAMEA103910211,69,2,ERR1880789,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",NICD_273,South Africa,1998 ,,
SAMEA103910212,69,2,ERR1880790,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",NICD_4076,South Africa,2001 ,,
SAMEA103910213,69,8,ERR1880791,"catB9, varG",NICD_69173,South Africa,1980 ,,
SAMEA103910214,69,6,ERR1880792,"catB9, varG",NICD_69175,South Africa,1980 ,,
SAMEA103910215,69,6,ERR1880793,"catB9, varG",RKI-ZBS2-CH19,Angola,1972 ,,
SAMEA103910216,69,34,ERR1880794,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",RKI-ZBS2-CH218,Turkey,1994 ,,
SAMEA103910217,69,2,ERR1880795,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",RKI-ZBS2-CH234,Turkey,1994 ,,
SAMEA103910218,69,6,ERR1880796,"catB9, varG",RKI-ZBS2-CH8,Spain,1971 ,,
SAMEA103910219,69,15,ERR1880797,"catB9, varG",RKI-ZBS2-CH99,Turkey,1980 ,,
SAMEA103910220,69,5,ERR1880798,"aph(3'')-Ib, aph(6)-Id, catB9, floR, sul2, tet(A), varG",SaoTome21,Sao Tome,1989 ,,
SAMEA103910221,69,38,ERR1880799,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_AM120,India,1996 ,,
SAMEA103910222,69,2,ERR1880800,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_AM232,India,1996 ,,
SAMEA103910223,69,4,ERR1880801,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_AM305,India,1997 ,,
SAMEA103910224,69,2,ERR1880802,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_C18932,India,1997 ,,
SAMEA103910225,69,8,ERR1880803,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_CO1089,India,1995 ,,
SAMEA103910226,69,6,ERR1880804,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_CO327,India,1993 ,,
SAMEA103910227,69,3,ERR1880805,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_CO368,India,1993 ,,
SAMEA103910228,69,2,ERR1880806,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_CO553,India,1994 ,,
SAMEA103910229,69,2,ERR1880807,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_CO783,India,1994 ,,
SAMEA103910230,69,1,ERR1880808,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_CO908,India,1995 ,,
SAMEA103910231,69,6,ERR1880809,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_CRC155,India,2000 ,,
SAMEA103910232,69,2,ERR1880810,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_CRC198,India,2000 ,,
SAMEA103910233,69,3,ERR1880811,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_D16133,India,1998 ,,
SAMEA103910234,69,4,ERR1880812,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_D31153,India,1998 ,,
SAMEA103910235,69,26,ERR1880813,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_E12067,India,1999 ,,
SAMEA103910237,69,3,ERR1880815,"catB9, varG",THSTI_GP106bis,Germany,1975 ,,
SAMEA103910238,69,14,ERR1880816,"catB9, varG",THSTI_GP160bis,India,1980 ,,
SAMEA103910239,69,1,ERR1880817,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_H11801,India,2002 ,,
SAMEA103910240,69,1,ERR1880818,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_H12381,India,2002 ,,
SAMEA103910241,69,5,ERR1880819,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_I16615,India,2003 ,,
SAMEA103910242,69,2,ERR1880820,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_I17260,India,2003 ,,
SAMEA103910249,69,4,ERR1880821,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, mph(A), qnrVC1, sul2, tetA(D), varG",THSTI_IDH0002,India,2007 ,,
SAMEA103910250,69,0,ERR1880822,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",THSTI_IDH00136,India,2007 ,,
SAMEA103910251,69,4,ERR1880823,"catB9, varG",THSTI_IDH00563,India,2008 ,,
SAMEA103910252,69,6,ERR1880824,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_IDH01272,India,2008 ,,
SAMEA103910253,69,3,ERR1880825,"catB9, dfrA1, varG",THSTI_IDH01405,India,2009 ,,
SAMEA103910254,69,3,ERR1880826,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",THSTI_IDH02367,India,2009 ,,
SAMEA103910255,69,2,ERR1880827,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",THSTI_IDH02834,India,2010 ,,
